"InternalReference","Description","ItemCategory","ItemCategory2","Department","Weight","Dimension","Length","Thickness","UsedFor","Finishing","SAD_UOM","conversion_rate","PURCHASE_UOM","Warehouse_QTY","Available_QTY","Warehouse_QTY_SG","Available_QTY_SG","PQ_QTY","PO_QTY","MinQty","reOrderQty","drawing_Ref_T1","drawing_Ref_T2","drawing_Ref_FRP","PackingReference","our_final_price","market_final_price"
"EL-SS316-25M","EXTERNAL LADDER STAINLESS STEEL 316 2.5M + 0.609M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","406","506"
"EL-SS316-25M","EXTERNAL LADDER STAINLESS STEEL 316 2.5M + 0.609M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","406","506"
"EL-SS316-25M","EXTERNAL LADDER STAINLESS STEEL 316 2.5M + 0.609M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","406","506"
"EL-SS316-25M","EXTERNAL LADDER STAINLESS STEEL 316 2.5M + 0.609M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","406","506"
"EL-SS316-35M","EXTERNAL LADDER STAINLESS STEEL 316 3.5M + 0.609M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","422","522"
"EL-SS316-35M","EXTERNAL LADDER STAINLESS STEEL 316 3.5M + 0.609M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","422","522"
"EL-SS316-35M","EXTERNAL LADDER STAINLESS STEEL 316 3.5M + 0.609M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","422","522"
"EL-SS316-35M","EXTERNAL LADDER STAINLESS STEEL 316 3.5M + 0.609M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","422","522"
"EL-SS316-45M","EXTERNAL LADDER STAINLESS STEEL 316 4.5M+0.14M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","0","0"
"EL-SS316-45M","EXTERNAL LADDER STAINLESS STEEL 316 4.5M+0.14M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","0","0"
"EL-SS316-45M","EXTERNAL LADDER STAINLESS STEEL 316 4.5M+0.14M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","0","0"
"EL-SS316-45M","EXTERNAL LADDER STAINLESS STEEL 316 4.5M+0.14M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","0","0"
"EL-SS316-50M","EXTERNAL LADDER STAINLESS STEEL 316 5M+0.14M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","0","0"
"EL-SS316-50M","EXTERNAL LADDER STAINLESS STEEL 316 5M+0.14M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","0","0"
"EL-SS316-50M","EXTERNAL LADDER STAINLESS STEEL 316 5M+0.14M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","0","0"
"EL-SS316-50M","EXTERNAL LADDER STAINLESS STEEL 316 5M+0.14M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","0","0"
"EL-SS316-55M","EXTERNAL LADDER STAINLESS STEEL 316 5.5M+0.14M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","0","0"
"EL-SS316-55M","EXTERNAL LADDER STAINLESS STEEL 316 5.5M+0.14M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","0","0"
"EL-SS316-55M","EXTERNAL LADDER STAINLESS STEEL 316 5.5M+0.14M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","0","0"
"EL-SS316-55M","EXTERNAL LADDER STAINLESS STEEL 316 5.5M+0.14M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","0","0"
"EL-SS316-60M","EXTERNAL LADDER STAINLESS STEEL 316 6.0M+0.14M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","0","0"
"EL-SS316-60M","EXTERNAL LADDER STAINLESS STEEL 316 6.0M+0.14M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","0","0"
"EL-SS316-60M","EXTERNAL LADDER STAINLESS STEEL 316 6.0M+0.14M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","0","0"
"EL-SS316-60M","EXTERNAL LADDER STAINLESS STEEL 316 6.0M+0.14M x 18""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","0","0"
"F-FRP-1430-HDG","HDG 1430L x 3.0mm(thk) Flat","FABRICATION","ACCESSORIES","GALVANIZING","0",,"0",,,"HDG","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","2.5625","2.5625"
"F-FRP-1430-MS","MS 1430L x 3.0mm(thk) Flat","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","0.3125","0.3125"
"F-FRP-1430-SS304","SS304 1430L x 3.0mm(thk) Flat","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"SS304","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","8","8"
"F-FRP-1430-SS304","SS304 1430L x 3.0mm(thk) Flat","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"SS304","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","8","8"
"IL-SS304-35M","INTERNAL LADDER STAINLESS STEEL304 3.550M x 14""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","T1-SE-ACCD-2000-001_Sheet_39","T2-SE-ACCD-2020-001_Sheet_37","N/A","LOOSE","398","498"
"IL-SS304-35M","INTERNAL LADDER STAINLESS STEEL304 3.550M x 14""(W)""","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","T1-SE-ACCD-2000-001_Sheet_39","T2-SE-ACCD-2020-001_Sheet_37","N/A","LOOSE","398","498"
"VT-100-HDG-PN16","HDG Ø100MM VORTEX INHIBITOR - PN16","FABRICATION","ACCESSORIES","GALVANIZING","0",,"0",,,"HDG","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","34.0588","35.6"
"VT-100-HDG-PN16","HDG Ø100MM VORTEX INHIBITOR - PN16","FABRICATION","ACCESSORIES","GALVANIZING","0",,"0",,,"HDG","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","34.0588","35.6"
"VT-100-HDG-PN16","HDG Ø100MM VORTEX INHIBITOR - PN16","FABRICATION","ACCESSORIES","GALVANIZING","0",,"0",,,"HDG","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","34.0588","35.6"
"VT-100-MS-ANSI150","MILD STEEL Ø100MM VORTEX INHIBITOR - ANSI150","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","42.9","42.9"
"VT-100-MS-ANSI150","MILD STEEL Ø100MM VORTEX INHIBITOR - ANSI150","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","42.9","42.9"
"VT-100-MS-ANSI150","MILD STEEL Ø100MM VORTEX INHIBITOR - ANSI150","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","42.9","42.9"
"VT-100-MS-J10K","MILD STEEL Ø100MM VORTEX INHIBITOR - JIS 10K","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","6","6"
"VT-100-MS-J10K","MILD STEEL Ø100MM VORTEX INHIBITOR - JIS 10K","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","6","6"
"VT-100-MS-J10K","MILD STEEL Ø100MM VORTEX INHIBITOR - JIS 10K","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","6","6"
